uri	yaml_path	language
https://gedcom.io/terms/v5.5.1/FAMS	structure/standard/FAMS-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/FAX	structure/standard/FAX-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/FCOM	structure/standard/FCOM-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/FORM-PLACE_HIERARCHY	structure/standard/FORM-PLACE_HIERARCHY-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/GEDC	structure/standard/GEDC-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/GEDC-FORM	structure/standard/GEDC-FORM-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/GIVN	structure/standard/GIVN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/GRAD	structure/standard/GRAD-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/HEAD	structure/standard/HEAD-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/HEAD-COPR	structure/standard/HEAD-COPR-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/HEAD-DATE	structure/standard/HEAD-DATE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/HEAD-FILE	structure/standard/HEAD-FILE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/HEAD-LANG	structure/standard/HEAD-LANG-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/HEAD-NOTE	structure/standard/HEAD-NOTE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/HEAD-PLAC	structure/standard/HEAD-PLAC-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/HEAD-SOUR	structure/standard/HEAD-SOUR-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/HEAD-SOUR-DATA	structure/standard/HEAD-SOUR-DATA-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/HEAD-SOUR-DATA-COPR	structure/standard/HEAD-SOUR-DATA-COPR-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/HEAD-SOUR-DATA-DATE	structure/standard/HEAD-SOUR-DATA-DATE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/HEAD-SOUR-NAME	structure/standard/HEAD-SOUR-NAME-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/HUSB-NULL	structure/standard/HUSB-NULL-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/IDNO	structure/standard/IDNO-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/IMMI	structure/standard/IMMI-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-ADOP	structure/standard/INDI-ADOP-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-ADOP-FAMC	structure/standard/INDI-ADOP-FAMC-v551.yaml	en-US
